Year,Documents,Citations
2008,1,1
2009,0,1
2010,0,0
2011,1,1
2012,1,13
2013,1,14
2014,0,10
2015,2,1
2016,0,3
2017,3,1
2018,0,4
2019,1,5
2020,3,5
2021,0,4
2022,1,5
2023,0,8
2024,0,7
2025,0,2
