Year,Documents,Citations
2013,1,0
2014,2,2
2015,0,3
2016,2,1
2017,1,2
2018,0,6
2019,2,16
2020,3,14
2021,3,40
2022,10,70
2023,11,106
2024,14,139
2025,3,35
