Year,Documents,Citations
2013,2,0
2014,3,0
2015,6,4
2016,4,13
2017,3,17
2018,1,15
2019,2,22
2020,1,12
2021,1,5
2022,3,29
2023,1,33
2024,5,31
2025,1,6
