Year,Documents,Citations
2011,2,0
2014,0,1
2015,1,0
2016,0,1
2017,0,0
2018,0,2
2019,1,0
2020,0,0
2021,2,0
2022,1,3
2023,2,10
2024,4,12
2025,0,5
