Year,Documents,Citations
2013,1,0
2014,0,1
2015,0,0
2016,0,2
2017,1,1
2018,0,0
2019,6,5
2020,11,22
2021,9,52
2022,11,176
2023,23,202
2024,10,160
2025,6,77
2026,0,1
