Year,Documents,Citations
2012,3,0
2014,0,5
2015,1,4
2016,2,1
2017,1,2
2018,0,3
2019,2,12
2020,7,9
2021,7,22
2022,17,51
2023,4,64
2024,11,91
2025,5,17
