Year,Documents,Citations
2013,1,0
2014,1,1
2015,4,0
2016,2,1
2017,1,0
2018,0,0
2019,5,0
2020,6,3
2021,6,17
2022,9,51
2023,14,91
2024,4,114
2025,0,35
