Year,Documents,Citations
2013,1,0
2014,3,1
2015,1,1
2016,5,7
2017,0,0
2018,7,5
2019,0,11
2020,3,11
2021,8,16
2022,8,81
2023,8,57
2024,5,80
2025,4,17
