Year,Documents,Citations
2011,1,0
2012,1,2
2013,0,0
2014,0,0
2015,0,0
2016,0,2
2017,2,0
2018,0,2
2019,2,3
2020,1,9
2021,2,13
2022,6,14
2023,8,16
2024,11,44
2025,3,8
