Year,Documents,Citations
2012,1,0
2013,0,2
2014,2,0
2015,1,1
2016,2,1
2017,1,9
2018,1,17
2019,2,11
2020,2,10
2021,0,12
2022,2,14
2023,2,18
2024,3,18
2025,3,8
