Year,Documents,Citations
2011,1,0
2012,1,0
2014,1,0
2015,1,1
2016,1,2
2017,1,1
2018,1,2
2019,3,5
2020,2,0
2021,5,34
2022,19,328
2023,13,174
2024,5,219
2025,0,78
