Year,Documents,Citations
2007,1,0
2010,2,0
2011,0,4
2012,0,5
2013,0,4
2014,2,9
2015,6,9
2016,7,12
2017,5,18
2018,6,25
2019,8,27
2020,7,24
2021,2,56
2022,3,46
2023,6,76
2024,9,66
2025,7,31
