Year,Documents,Citations
2009,1,0
2010,0,1
2011,1,5
2012,0,2
2013,0,1
2014,0,1
2015,0,0
2016,0,1
2017,0,1
2018,0,0
2019,2,0
2020,1,4
2021,5,5
2022,4,4
2023,1,32
2024,6,36
2025,1,6
