Year,Documents,Citations
2013,1,0
2014,1,1
2015,2,0
2016,1,4
2017,0,2
2018,1,0
2019,1,2
2020,1,1
2021,8,6
2022,15,12
2023,12,40
2024,13,82
2025,1,13
