Year,Documents,Citations
2009,2,1
2010,0,1
2011,0,3
2012,0,1
2013,1,5
2014,2,2
2015,0,2
2016,4,6
2017,3,9
2018,6,15
2019,5,16
2020,2,8
2021,2,28
2022,3,23
2023,1,5
2024,3,14
2025,5,21
