Year,Documents,Citations
2013,4,1
2014,0,2
2015,0,3
2016,3,5
2017,3,4
2018,4,12
2019,5,15
2020,8,15
2021,3,15
2022,5,18
2023,8,52
2024,12,77
2025,5,51
