Year,Documents,Citations
2007,1,0
2008,2,0
2009,0,1
2010,0,1
2011,2,1
2012,1,1
2013,2,3
2014,2,7
2015,2,9
2016,4,7
2017,0,2
2018,0,6
2019,7,8
2020,0,12
2021,1,15
2022,7,32
2023,6,48
2024,3,79
2025,8,49
