Year,Documents,Citations
2009,1,0
2011,0,1
2012,1,1
2013,0,1
2014,1,2
2015,1,2
2016,0,1
2017,1,9
2018,1,9
2019,3,26
2020,3,47
2021,2,38
2022,1,42
2023,1,51
2024,1,84
2025,0,34
2026,0,1
