Year,Documents,Citations
2011,3,1
2012,0,2
2013,0,1
2014,1,2
2015,0,1
2016,1,3
2017,1,2
2018,2,5
2019,2,4
2020,0,8
2021,1,7
2022,6,27
2023,2,62
2024,4,194
2025,1,36
2026,0,1
