Year,Documents,Citations
2010,1,0
2012,2,2
2013,0,1
2014,2,6
2015,1,12
2016,0,6
2017,0,14
2018,4,16
2019,1,10
2020,0,15
2021,2,18
2022,0,17
2023,2,20
2024,1,39
2025,0,14
