Year,Documents,Citations
2012,2,0
2013,2,4
2014,1,2
2015,0,2
2016,0,3
2017,1,1
2018,0,2
2019,0,0
2020,1,0
2021,2,3
2022,8,101
2023,7,69
2024,19,169
2025,9,57
