Year,Documents,Citations
2009,1,0
2010,0,1
2011,0,0
2012,1,0
2013,0,1
2014,0,0
2015,1,0
2016,3,2
2017,0,1
2018,1,3
2019,3,0
2020,5,4
2021,10,16
2022,3,25
2023,7,44
2024,3,63
2025,1,32
