Year,Documents,Citations
2011,2,0
2012,1,0
2013,3,1
2014,6,5
2015,1,21
2016,2,22
2017,1,32
2018,3,43
2019,3,55
2020,4,58
2021,7,76
2022,14,91
2023,6,98
2024,9,106
2025,4,54
