Year,Documents,Citations
2012,1,0
2014,1,0
2015,1,1
2016,1,1
2017,0,0
2018,2,0
2019,2,11
2020,0,37
2021,3,32
2022,2,48
2023,6,64
2024,3,51
2025,2,40
