Year,Documents,Citations
2010,1,0
2011,0,1
2012,4,2
2013,1,2
2014,4,2
2015,1,1
2016,2,4
2017,0,1
2018,0,0
2019,4,4
2020,1,4
2021,6,15
2022,9,26
2023,8,56
2024,11,90
2025,1,42
