Year,Documents,Citations
2009,4,0
2010,3,1
2011,0,0
2012,0,0
2013,0,2
2014,2,2
2015,5,1
2016,3,5
2017,4,4
2018,8,3
2019,9,14
2020,5,26
2021,11,41
2022,6,124
2023,10,123
2024,23,110
2025,10,77
