Year,Documents,Citations
2006,1,0
2008,0,2
2009,0,0
2010,1,2
2011,2,7
2012,0,8
2013,0,12
2014,0,9
2015,1,8
2016,0,6
2017,0,5
2018,0,6
2019,7,5
2020,0,14
2021,3,34
2022,3,20
2023,9,32
2024,15,70
2025,11,36
