Year,Documents,Citations
2008,1,0
2010,1,0
2011,2,1
2012,2,2
2013,0,2
2014,1,1
2015,4,3
2016,1,1
2017,2,5
2018,0,2
2019,0,5
2020,0,6
2021,1,5
2022,2,6
2023,0,16
2024,1,28
2025,0,21
