Year,Documents,Citations
2012,1,0
2013,0,5
2014,0,4
2015,0,6
2016,1,6
2017,3,3
2018,0,3
2019,2,3
2020,3,2
2021,0,5
2022,1,6
2023,4,3
2024,5,24
2025,0,9
