Year,Documents,Citations
2013,1,0
2014,1,1
2015,2,1
2016,3,0
2017,2,9
2018,1,9
2019,1,14
2020,4,9
2021,0,18
2022,3,6
2023,6,105
2024,10,86
2025,0,2
