Year,Documents,Citations
2013,4,0
2014,1,0
2015,0,1
2016,0,3
2017,0,1
2018,0,4
2019,0,4
2020,0,1
2021,0,2
2022,3,0
2023,3,3
2024,14,20
2025,4,7
